                    ************************************************************************************************
                    *  Z= 28 A= 61: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 61 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.191  2.65E-01 5.29E-01 2.88E+00 7.45E-02 1.19E-01 1.22E-01 9.54E-02 6.02E-02 3.13E-02 1.36E-02 4.98E-03 1.54E-03 4.04E-04 9.03E-05 1.72E-05 2.78E-06 3.86E-07 4.57E-08 4.63E-09 4.01E-10 2.98E-11 1.89E-12 1.03E-13 4.80E-15 1.92E-16 6.58E-18 1.93E-19 4.87E-21 1.05E-22 1.95E-24 3.11E-26 4.24E-28 4.97E-30
   0.50  0.271  6.51E-01 7.72E-01 4.21E+00 1.09E-01 1.73E-01 1.78E-01 1.39E-01 8.79E-02 4.57E-02 1.99E-02 7.27E-03 2.25E-03 5.90E-04 1.32E-04 2.51E-05 4.06E-06 5.63E-07 6.67E-08 6.75E-09 5.85E-10 4.34E-11 2.76E-12 1.50E-13 7.01E-15 2.80E-16 9.60E-18 2.82E-19 7.11E-21 1.54E-22 2.85E-24 4.54E-26 6.19E-28 7.25E-30
   0.75  0.331  1.20E+00 1.10E+00 5.97E+00 1.54E-01 2.46E-01 2.52E-01 1.98E-01 1.25E-01 6.49E-02 2.82E-02 1.03E-02 3.19E-03 8.38E-04 1.87E-04 3.56E-05 5.77E-06 8.00E-07 9.47E-08 9.59E-09 8.31E-10 6.17E-11 3.92E-12 2.13E-13 9.95E-15 3.98E-16 1.36E-17 4.01E-19 1.01E-20 2.18E-22 4.05E-24 6.44E-26 8.79E-28 1.03E-29
   1.00  0.383  1.97E+00 1.54E+00 8.37E+00 2.16E-01 3.45E-01 3.54E-01 2.77E-01 1.75E-01 9.10E-02 3.96E-02 1.45E-02 4.48E-03 1.17E-03 2.62E-04 4.99E-05 8.09E-06 1.12E-06 1.33E-07 1.34E-08 1.16E-09 8.64E-11 5.49E-12 2.99E-13 1.39E-14 5.58E-16 1.91E-17 5.62E-19 1.42E-20 3.06E-22 5.68E-24 9.03E-26 1.23E-27 1.44E-29
   1.25  0.428  3.03E+00 2.13E+00 1.16E+01 3.00E-01 4.78E-01 4.91E-01 3.85E-01 2.43E-01 1.26E-01 5.49E-02 2.01E-02 6.21E-03 1.63E-03 3.64E-04 6.92E-05 1.12E-05 1.56E-06 1.84E-07 1.87E-08 1.62E-09 1.20E-10 7.62E-12 4.15E-13 1.94E-14 7.74E-16 2.65E-17 7.80E-19 1.97E-20 4.25E-22 7.88E-24 1.25E-25 1.71E-27 2.00E-29
   1.50  0.469  4.50E+00 2.94E+00 1.60E+01 4.13E-01 6.58E-01 6.76E-01 5.29E-01 3.34E-01 1.74E-01 7.56E-02 2.76E-02 8.55E-03 2.24E-03 5.01E-04 9.52E-05 1.55E-05 2.14E-06 2.54E-07 2.57E-08 2.23E-09 1.65E-10 1.05E-11 5.71E-13 2.66E-14 1.07E-15 3.65E-17 1.07E-18 2.70E-20 5.85E-22 1.08E-23 1.72E-25 2.35E-27 2.76E-29
   1.75  0.506  6.48E+00 3.96E+00 2.19E+01 5.45E-01 8.72E-01 9.03E-01 7.17E-01 4.60E-01 2.44E-01 1.09E-01 4.09E-02 1.30E-02 3.54E-03 8.22E-04 1.63E-04 2.77E-05 4.03E-06 5.03E-07 5.39E-08 4.96E-09 3.93E-10 2.67E-11 1.56E-12 7.84E-14 3.39E-15 1.26E-16 4.04E-18 1.12E-19 2.65E-21 5.41E-23 9.51E-25 1.44E-26 1.88E-28
   2.00  0.541  9.11E+00 5.25E+00 2.97E+01 6.99E-01 1.13E+00 1.18E+00 9.57E-01 6.29E-01 3.44E-01 1.59E-01 6.22E-02 2.08E-02 5.94E-03 1.46E-03 3.08E-04 5.60E-05 8.77E-06 1.18E-06 1.38E-07 1.39E-08 1.21E-09 9.08E-11 5.90E-12 3.32E-13 1.61E-14 6.77E-16 2.46E-17 7.76E-19 2.11E-20 4.99E-22 1.02E-23 1.80E-25 2.76E-27
   2.25  0.574  1.26E+01 6.93E+00 3.99E+01 8.91E-01 1.45E+00 1.54E+00 1.27E+00 8.52E-01 4.79E-01 2.28E-01 9.29E-02 3.24E-02 9.72E-03 2.52E-03 5.63E-04 1.09E-04 1.83E-05 2.65E-06 3.34E-07 3.66E-08 3.48E-09 2.87E-10 2.06E-11 1.28E-12 6.93E-14 3.27E-15 1.34E-16 4.76E-18 1.48E-19 3.98E-21 9.33E-23 1.90E-24 3.38E-26
   2.50  0.605  1.71E+01 9.07E+00 5.33E+01 1.13E+00 1.85E+00 1.99E+00 1.66E+00 1.14E+00 6.60E-01 3.24E-01 1.36E-01 4.95E-02 1.55E-02 4.23E-03 9.98E-04 2.05E-04 3.66E-05 5.69E-06 7.71E-07 9.12E-08 9.40E-09 8.46E-10 6.65E-11 4.56E-12 2.73E-13 1.43E-14 6.54E-16 2.61E-17 9.12E-19 2.78E-20 7.43E-22 1.73E-23 3.54E-25
   2.75  0.634  2.30E+01 1.18E+01 7.07E+01 1.42E+00 2.35E+00 2.55E+00 2.17E+00 1.52E+00 8.98E-01 4.54E-01 1.98E-01 7.44E-02 2.43E-02 6.93E-03 1.72E-03 3.73E-04 7.07E-05 1.17E-05 1.70E-06 2.16E-07 2.41E-08 2.35E-09 2.01E-10 1.51E-11 9.93E-13 5.73E-14 2.91E-15 1.29E-16 5.05E-18 1.73E-19 5.21E-21 1.38E-22 3.20E-24
   3.00  0.663  3.06E+01 1.53E+01 9.32E+01 1.79E+00 2.96E+00 3.25E+00 2.81E+00 2.00E+00 1.21E+00 6.28E-01 2.82E-01 1.10E-01 3.74E-02 1.11E-02 2.90E-03 6.61E-04 1.32E-04 2.33E-05 3.60E-06 4.90E-07 5.86E-08 6.17E-09 5.72E-10 4.67E-11 3.36E-12 2.13E-13 1.19E-14 5.84E-16 2.53E-17 9.68E-19 3.26E-20 9.70E-22 2.54E-23
   3.25  0.690  4.04E+01 1.96E+01 1.22E+02 2.23E+00 3.72E+00 4.13E+00 3.61E+00 2.62E+00 1.62E+00 8.60E-01 3.98E-01 1.60E-01 5.65E-02 1.75E-02 4.76E-03 1.14E-03 2.41E-04 4.48E-05 7.35E-06 1.06E-06 1.36E-07 1.54E-08 1.54E-09 1.36E-10 1.06E-11 7.34E-13 4.49E-14 2.43E-15 1.16E-16 4.91E-18 1.84E-19 6.11E-21 1.79E-22
   3.50  0.716  5.30E+01 2.51E+01 1.59E+02 2.77E+00 4.65E+00 5.20E+00 4.61E+00 3.40E+00 2.14E+00 1.17E+00 5.54E-01 2.30E-01 8.41E-02 2.70E-02 7.67E-03 1.92E-03 4.26E-04 8.35E-05 1.45E-05 2.23E-06 3.04E-07 3.68E-08 3.94E-09 3.75E-10 3.17E-11 2.37E-12 1.58E-13 9.33E-15 4.90E-16 2.28E-17 9.44E-19 3.47E-20 1.13E-21
   3.75  0.741  6.90E+01 3.19E+01 2.06E+02 3.43E+00 5.79E+00 6.53E+00 5.85E+00 4.38E+00 2.81E+00 1.57E+00 7.64E-01 3.27E-01 1.23E-01 4.11E-02 1.21E-02 3.17E-03 7.35E-04 1.51E-04 2.77E-05 4.51E-06 6.53E-07 8.41E-08 9.64E-09 9.83E-10 8.93E-11 7.23E-12 5.21E-13 3.35E-14 1.92E-15 9.77E-17 4.44E-18 1.80E-19 6.50E-21
   4.00  0.765  8.92E+01 4.05E+01 2.65E+02 4.23E+00 7.17E+00 8.16E+00 7.39E+00 5.62E+00 3.67E+00 2.09E+00 1.04E+00 4.59E-01 1.78E-01 6.15E-02 1.88E-02 5.12E-03 1.24E-03 2.68E-04 5.15E-05 8.84E-06 1.35E-06 1.85E-07 2.26E-08 2.46E-09 2.40E-10 2.08E-11 1.62E-12 1.13E-13 7.00E-15 3.89E-16 1.93E-17 8.58E-19 3.41E-20
