                    ************************************************************************************************
                    *  Z= 40 A= 90: Positive-Parity Spin-dependent Level Density [MeV-1] for Zr 90 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.155  2.10E-03 4.21E-03 3.58E-02 1.80E-04 4.96E-04 6.96E-04 7.51E-04 6.82E-04 5.41E-04 3.80E-04 2.39E-04 1.35E-04 6.93E-05 3.22E-05 1.36E-05 5.22E-06 1.83E-06 5.82E-07 1.70E-07 4.51E-08 1.10E-08 2.43E-09 4.94E-10 9.16E-11 1.56E-11 2.42E-12 3.44E-13 4.47E-14 5.33E-15 5.81E-16 5.81E-17 5.31E-18 4.45E-19
   0.50  0.219  5.53E-03 6.86E-03 5.84E-02 2.94E-04 8.09E-04 1.13E-03 1.22E-03 1.11E-03 8.81E-04 6.19E-04 3.89E-04 2.21E-04 1.13E-04 5.25E-05 2.21E-05 8.50E-06 2.97E-06 9.49E-07 2.76E-07 7.35E-08 1.79E-08 3.96E-09 8.05E-10 1.49E-10 2.54E-11 3.94E-12 5.60E-13 7.29E-14 8.69E-15 9.48E-16 9.47E-17 8.66E-18 7.25E-19
   0.75  0.268  1.11E-02 1.12E-02 9.52E-02 4.79E-04 1.32E-03 1.85E-03 1.99E-03 1.81E-03 1.44E-03 1.01E-03 6.35E-04 3.59E-04 1.84E-04 8.55E-05 3.61E-05 1.39E-05 4.85E-06 1.55E-06 4.50E-07 1.20E-07 2.91E-08 6.46E-09 1.31E-09 2.43E-10 4.13E-11 6.42E-12 9.13E-13 1.19E-13 1.42E-14 1.54E-15 1.54E-16 1.41E-17 1.18E-18
   1.00  0.310  2.02E-02 1.82E-02 1.55E-01 7.81E-04 2.15E-03 3.01E-03 3.25E-03 2.95E-03 2.34E-03 1.64E-03 1.03E-03 5.86E-04 3.00E-04 1.39E-04 5.88E-05 2.26E-05 7.90E-06 2.52E-06 7.34E-07 1.95E-07 4.74E-08 1.05E-08 2.14E-09 3.97E-10 6.74E-11 1.05E-11 1.49E-12 1.94E-13 2.31E-14 2.52E-15 2.51E-16 2.30E-17 1.93E-18
   1.25  0.346  3.51E-02 2.97E-02 2.53E-01 1.27E-03 3.50E-03 4.91E-03 5.30E-03 4.82E-03 3.82E-03 2.68E-03 1.69E-03 9.55E-04 4.89E-04 2.27E-04 9.58E-05 3.68E-05 1.29E-05 4.11E-06 1.20E-06 3.18E-07 7.73E-08 1.72E-08 3.48E-09 6.47E-10 1.10E-10 1.71E-11 2.43E-12 3.16E-13 3.76E-14 4.10E-15 4.10E-16 3.75E-17 3.14E-18
   1.50  0.379  5.93E-02 4.84E-02 4.12E-01 2.08E-03 5.71E-03 8.00E-03 8.63E-03 7.85E-03 6.22E-03 4.37E-03 2.75E-03 1.56E-03 7.97E-04 3.70E-04 1.56E-04 6.00E-05 2.10E-05 6.70E-06 1.95E-06 5.19E-07 1.26E-07 2.80E-08 5.68E-09 1.05E-09 1.79E-10 2.78E-11 3.95E-12 5.15E-13 6.13E-14 6.69E-15 6.68E-16 6.11E-17 5.12E-18
   1.75  0.409  9.87E-02 7.89E-02 6.71E-01 3.38E-03 9.30E-03 1.30E-02 1.41E-02 1.28E-02 1.01E-02 7.12E-03 4.48E-03 2.54E-03 1.30E-03 6.03E-04 2.55E-04 9.78E-05 3.42E-05 1.09E-05 3.18E-06 8.45E-07 2.05E-07 4.56E-08 9.25E-09 1.72E-09 2.92E-10 4.53E-11 6.44E-12 8.39E-13 9.99E-14 1.09E-14 1.09E-15 9.96E-17 8.34E-18
   2.00  0.438  1.63E-01 1.29E-01 1.09E+00 5.51E-03 1.52E-02 2.12E-02 2.29E-02 2.08E-02 1.65E-02 1.16E-02 7.30E-03 4.13E-03 2.12E-03 9.83E-04 4.15E-04 1.59E-04 5.58E-05 1.78E-05 5.18E-06 1.38E-06 3.35E-07 7.43E-08 1.51E-08 2.80E-09 4.75E-10 7.39E-11 1.05E-11 1.37E-12 1.63E-13 1.78E-14 1.77E-15 1.62E-16 1.36E-17
