                    ************************************************************************************************
                    *  Z= 40 A= 90: Positive-Parity Spin-dependent Level Density [MeV-1] for Zr 90 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.595  3.31E+00 1.77E+00 1.51E+01 7.59E-02 2.09E-01 2.93E-01 3.16E-01 2.87E-01 2.27E-01 1.60E-01 1.00E-01 5.69E-02 2.91E-02 1.35E-02 5.71E-03 2.19E-03 7.68E-04 2.45E-04 7.13E-05 1.90E-05 4.61E-06 1.02E-06 2.08E-07 3.85E-08 6.55E-09 1.02E-09 1.45E-10 1.88E-11 2.24E-12 2.45E-13 2.44E-14 2.23E-15 1.87E-16
   3.50  0.617  4.66E+00 2.70E+00 2.30E+01 1.16E-01 3.19E-01 4.47E-01 4.82E-01 4.38E-01 3.47E-01 2.44E-01 1.53E-01 8.69E-02 4.45E-02 2.07E-02 8.73E-03 3.35E-03 1.17E-03 3.74E-04 1.09E-04 2.90E-05 7.04E-06 1.56E-06 3.17E-07 5.89E-08 1.00E-08 1.55E-09 2.21E-10 2.87E-11 3.43E-12 3.74E-13 3.73E-14 3.41E-15 2.86E-16
   3.75  0.639  6.70E+00 4.07E+00 3.46E+01 1.74E-01 4.80E-01 6.73E-01 7.26E-01 6.60E-01 5.23E-01 3.67E-01 2.31E-01 1.31E-01 6.70E-02 3.11E-02 1.31E-02 5.04E-03 1.76E-03 5.63E-04 1.64E-04 4.36E-05 1.06E-05 2.35E-06 4.77E-07 8.86E-08 1.50E-08 2.34E-09 3.32E-10 4.33E-11 5.15E-12 5.62E-13 5.62E-14 5.14E-15 4.30E-16
   4.00  0.660  9.69E+00 5.98E+00 5.14E+01 2.51E-01 6.93E-01 9.74E-01 1.06E+00 9.67E-01 7.72E-01 5.48E-01 3.49E-01 2.00E-01 1.04E-01 4.91E-02 2.11E-02 8.27E-03 2.96E-03 9.65E-04 2.88E-04 7.86E-05 1.96E-05 4.49E-06 9.41E-07 1.81E-07 3.17E-08 5.11E-09 7.55E-10 1.02E-10 1.27E-11 1.45E-12 1.51E-13 1.45E-14 1.27E-15
   4.25  0.680  1.40E+01 8.62E+00 7.52E+01 3.53E-01 9.74E-01 1.38E+00 1.50E+00 1.39E+00 1.12E+00 8.09E-01 5.23E-01 3.06E-01 1.63E-01 7.87E-02 3.47E-02 1.40E-02 5.17E-03 1.75E-03 5.40E-04 1.53E-04 3.99E-05 9.54E-06 2.09E-06 4.21E-07 7.79E-08 1.32E-08 2.07E-09 2.97E-10 3.92E-11 4.75E-12 5.29E-13 5.43E-14 5.12E-15
   4.50  0.700  2.01E+01 1.23E+01 1.09E+02 4.89E-01 1.35E+00 1.92E+00 2.11E+00 1.97E+00 1.61E+00 1.18E+00 7.74E-01 4.61E-01 2.50E-01 1.24E-01 5.60E-02 2.32E-02 8.83E-03 3.08E-03 9.87E-04 2.90E-04 7.86E-05 1.96E-05 4.48E-06 9.45E-07 1.83E-07 3.28E-08 5.40E-09 8.19E-10 1.14E-10 1.47E-11 1.75E-12 1.91E-13 1.92E-14
   4.75  0.719  2.88E+01 1.74E+01 1.56E+02 6.72E-01 1.86E+00 2.66E+00 2.94E+00 2.77E+00 2.29E+00 1.69E+00 1.13E+00 6.85E-01 3.79E-01 1.92E-01 8.88E-02 3.78E-02 1.48E-02 5.31E-03 1.76E-03 5.36E-04 1.50E-04 3.89E-05 9.29E-06 2.05E-06 4.16E-07 7.79E-08 1.35E-08 2.15E-09 3.18E-10 4.32E-11 5.44E-12 6.32E-13 6.78E-14
   5.00  0.738  4.09E+01 2.42E+01 2.20E+02 9.14E-01 2.54E+00 3.64E+00 4.05E+00 3.84E+00 3.21E+00 2.40E+00 1.63E+00 1.00E+00 5.65E-01 2.92E-01 1.38E-01 6.03E-02 2.42E-02 8.96E-03 3.06E-03 9.64E-04 2.80E-04 7.53E-05 1.87E-05 4.29E-06 9.09E-07 1.78E-07 3.23E-08 5.43E-09 8.42E-10 1.21E-10 1.61E-11 1.98E-12 2.25E-13
   5.50  0.774  8.70E+01 4.61E+01 4.30E+02 1.65E+00 4.61E+00 6.65E+00 7.49E+00 7.21E+00 6.14E+00 4.70E+00 3.27E+00 2.08E+00 1.21E+00 6.50E-01 3.21E-01 1.47E-01 6.19E-02 2.41E-02 8.73E-03 2.92E-03 9.06E-04 2.61E-04 6.95E-05 1.72E-05 3.95E-06 8.43E-07 1.67E-07 3.07E-08 5.24E-09 8.30E-10 1.22E-10 1.67E-11 2.13E-12
   6.00  0.808  1.72E+02 8.51E+01 8.13E+02 2.91E+00 8.14E+00 1.18E+01 1.35E+01 1.31E+01 1.14E+01 8.89E+00 6.33E+00 4.14E+00 2.49E+00 1.38E+00 7.09E-01 3.37E-01 1.49E-01 6.09E-02 2.32E-02 8.20E-03 2.70E-03 8.25E-04 2.35E-04 6.23E-05 1.54E-05 3.54E-06 7.58E-07 1.51E-07 2.81E-08 4.88E-09 7.89E-10 1.19E-10 1.67E-11
   6.50  0.841  3.25E+02 1.53E+02 1.50E+03 4.99E+00 1.40E+01 2.05E+01 2.35E+01 2.33E+01 2.05E+01 1.63E+01 1.19E+01 7.95E+00 4.92E+00 2.82E+00 1.50E+00 7.39E-01 3.40E-01 1.45E-01 5.79E-02 2.15E-02 7.47E-03 2.42E-03 7.31E-04 2.06E-04 5.44E-05 1.34E-05 3.09E-06 6.64E-07 1.34E-07 2.51E-08 4.42E-09 7.26E-10 1.12E-10
   7.00  0.873  5.94E+02 2.69E+02 2.69E+03 8.40E+00 2.37E+01 3.48E+01 4.03E+01 4.03E+01 3.60E+01 2.91E+01 2.17E+01 1.48E+01 9.42E+00 5.55E+00 3.04E+00 1.55E+00 7.41E-01 3.30E-01 1.37E-01 5.35E-02 1.95E-02 6.63E-03 2.12E-03 6.33E-04 1.77E-04 4.65E-05 1.14E-05 2.63E-06 5.69E-07 1.15E-07 2.19E-08 3.90E-09 6.51E-10
   7.50  0.904  1.06E+03 4.64E+02 4.74E+03 1.39E+01 3.92E+01 5.80E+01 6.77E+01 6.84E+01 6.19E+01 5.09E+01 3.85E+01 2.70E+01 1.75E+01 1.06E+01 5.98E+00 3.15E+00 1.56E+00 7.19E-01 3.11E-01 1.26E-01 4.80E-02 1.72E-02 5.76E-03 1.81E-03 5.36E-04 1.49E-04 3.89E-05 9.54E-06 2.20E-06 4.77E-07 9.73E-08 1.86E-08 3.36E-09
   8.00  0.933  1.85E+03 7.87E+02 8.20E+03 2.26E+01 6.40E+01 9.50E+01 1.12E+02 1.14E+02 1.04E+02 8.72E+01 6.71E+01 4.79E+01 3.18E+01 1.97E+01 1.14E+01 6.19E+00 3.15E+00 1.51E+00 6.76E-01 2.85E-01 1.13E-01 4.22E-02 1.48E-02 4.89E-03 1.52E-03 4.46E-04 1.23E-04 3.20E-05 7.84E-06 1.81E-06 3.94E-07 8.07E-08 1.56E-08
   8.50  0.962  3.16E+03 1.31E+03 1.40E+04 3.63E+01 1.03E+02 1.54E+02 1.82E+02 1.87E+02 1.73E+02 1.47E+02 1.15E+02 8.33E+01 5.64E+01 3.57E+01 2.12E+01 1.18E+01 6.20E+00 3.05E+00 1.42E+00 6.19E-01 2.55E-01 9.90E-02 3.63E-02 1.25E-02 4.08E-03 1.26E-03 3.65E-04 1.00E-04 2.59E-05 6.34E-06 1.46E-06 3.19E-07 6.58E-08
   9.00  0.990  5.32E+03 2.16E+03 2.34E+04 5.75E+01 1.64E+02 2.45E+02 2.92E+02 3.03E+02 2.83E+02 2.43E+02 1.93E+02 1.42E+02 9.81E+01 6.34E+01 3.85E+01 2.20E+01 1.18E+01 6.01E+00 2.88E+00 1.30E+00 5.54E-01 2.23E-01 8.50E-02 3.06E-02 1.04E-02 3.35E-03 1.02E-03 2.94E-04 8.02E-05 2.07E-05 5.05E-06 1.17E-06 2.56E-07
   9.50  1.017  8.83E+03 3.51E+03 3.87E+04 9.02E+01 2.57E+02 3.86E+02 4.63E+02 4.84E+02 4.57E+02 3.96E+02 3.18E+02 2.39E+02 1.67E+02 1.10E+02 6.85E+01 4.00E+01 2.21E+01 1.15E+01 5.67E+00 2.64E+00 1.16E+00 4.85E-01 1.92E-01 7.16E-02 2.54E-02 8.52E-03 2.71E-03 8.18E-04 2.34E-04 6.34E-05 1.63E-05 3.98E-06 9.20E-07
  10.00  1.043  1.45E+04 5.64E+03 6.33E+04 1.40E+02 3.99E+02 6.02E+02 7.26E+02 7.64E+02 7.28E+02 6.38E+02 5.19E+02 3.94E+02 2.81E+02 1.89E+02 1.19E+02 7.14E+01 4.03E+01 2.15E+01 1.09E+01 5.21E+00 2.37E+00 1.02E+00 4.16E-01 1.61E-01 5.94E-02 2.07E-02 6.87E-03 2.16E-03 6.47E-04 1.84E-04 4.96E-05 1.27E-05 3.09E-06
  11.00  1.094  4.27E+04 1.41E+04 1.63E+05 3.27E+02 9.36E+02 1.42E+03 1.73E+03 1.84E+03 1.79E+03 1.59E+03 1.33E+03 1.04E+03 7.60E+02 5.27E+02 3.45E+02 2.14E+02 1.26E+02 7.05E+01 3.74E+01 1.89E+01 9.05E+00 4.13E+00 1.79E+00 7.41E-01 2.92E-01 1.09E-01 3.90E-02 1.33E-02 4.30E-03 1.33E-03 3.91E-04 1.10E-04 2.93E-05
  12.00  1.143  1.10E+05 3.39E+04 4.06E+05 7.40E+02 2.12E+03 3.24E+03 3.98E+03 4.29E+03 4.21E+03 3.83E+03 3.25E+03 2.59E+03 1.95E+03 1.39E+03 9.41E+02 6.04E+02 3.69E+02 2.14E+02 1.19E+02 6.26E+01 3.15E+01 1.51E+01 6.93E+00 3.03E+00 1.27E+00 5.04E-01 1.92E-01 6.99E-02 2.43E-02 8.07E-03 2.56E-03 7.78E-04 2.26E-04
  13.00  1.190  2.69E+05 7.93E+04 9.73E+05 1.64E+03 4.73E+03 7.25E+03 8.95E+03 9.75E+03 9.67E+03 8.90E+03 7.67E+03 6.23E+03 4.79E+03 3.49E+03 2.42E+03 1.59E+03 1.00E+03 6.00E+02 3.43E+02 1.88E+02 9.80E+01 4.89E+01 2.34E+01 1.07E+01 4.67E+00 1.95E+00 7.83E-01 3.00E-01 1.10E-01 3.88E-02 1.31E-02 4.22E-03 1.30E-03
  14.00  1.234  6.29E+05 1.80E+05 2.26E+06 3.56E+03 1.03E+04 1.58E+04 1.96E+04 2.15E+04 2.16E+04 2.01E+04 1.76E+04 1.45E+04 1.13E+04 8.40E+03 5.94E+03 4.01E+03 2.58E+03 1.59E+03 9.36E+02 5.27E+02 2.85E+02 1.47E+02 7.29E+01 3.46E+01 1.57E+01 6.87E+00 2.88E+00 1.15E+00 4.45E-01 1.64E-01 5.83E-02 1.99E-02 6.49E-03
  15.00  1.278  1.43E+06 3.99E+05 5.12E+06 7.56E+03 2.18E+04 3.37E+04 4.21E+04 4.65E+04 4.70E+04 4.42E+04 3.90E+04 3.26E+04 2.59E+04 1.96E+04 1.41E+04 9.70E+03 6.38E+03 4.02E+03 2.43E+03 1.41E+03 7.81E+02 4.16E+02 2.13E+02 1.04E+02 4.92E+01 2.23E+01 9.70E+00 4.05E+00 1.63E+00 6.29E-01 2.33E-01 8.33E-02 2.86E-02
  16.00  1.320  3.15E+06 8.63E+05 1.13E+07 1.57E+04 4.55E+04 7.04E+04 8.83E+04 9.81E+04 9.99E+04 9.48E+04 8.47E+04 7.16E+04 5.76E+04 4.41E+04 3.23E+04 2.26E+04 1.52E+04 9.78E+03 6.04E+03 3.58E+03 2.04E+03 1.12E+03 5.87E+02 2.97E+02 1.44E+02 6.76E+01 3.04E+01 1.32E+01 5.50E+00 2.21E+00 8.53E-01 3.17E-01 1.14E-01
  17.00  1.360  6.81E+06 1.83E+06 2.44E+07 3.21E+04 9.29E+04 1.44E+05 1.82E+05 2.03E+05 2.08E+05 1.99E+05 1.79E+05 1.53E+05 1.25E+05 9.70E+04 7.21E+04 5.13E+04 3.50E+04 2.30E+04 1.45E+04 8.77E+03 5.11E+03 2.86E+03 1.54E+03 8.02E+02 4.01E+02 1.93E+02 8.98E+01 4.02E+01 1.73E+01 7.20E+00 2.88E+00 1.11E+00 4.15E-01
  18.00  1.400  1.44E+07 3.80E+06 5.16E+07 6.44E+04 1.87E+05 2.91E+05 3.68E+05 4.12E+05 4.25E+05 4.10E+05 3.72E+05 3.21E+05 2.64E+05 2.08E+05 1.57E+05 1.13E+05 7.85E+04 5.23E+04 3.36E+04 2.07E+04 1.23E+04 7.06E+03 3.89E+03 2.07E+03 1.06E+03 5.26E+02 2.51E+02 1.16E+02 5.14E+01 2.20E+01 9.12E+00 3.64E+00 1.40E+00
  19.00  1.438  2.99E+07 7.75E+06 1.07E+08 1.27E+05 3.69E+05 5.76E+05 7.31E+05 8.24E+05 8.54E+05 8.28E+05 7.58E+05 6.60E+05 5.49E+05 4.36E+05 3.32E+05 2.43E+05 1.71E+05 1.16E+05 7.56E+04 4.75E+04 2.88E+04 1.68E+04 9.47E+03 5.15E+03 2.70E+03 1.37E+03 6.70E+02 3.17E+02 1.45E+02 6.38E+01 2.72E+01 1.12E+01 4.46E+00
  20.00  1.475  6.10E+07 1.56E+07 2.18E+08 2.48E+05 7.19E+05 1.12E+06 1.43E+06 1.62E+06 1.69E+06 1.65E+06 1.52E+06 1.33E+06 1.12E+06 8.97E+05 6.91E+05 5.12E+05 3.65E+05 2.50E+05 1.66E+05 1.06E+05 6.52E+04 3.88E+04 2.23E+04 1.24E+04 6.62E+03 3.43E+03 1.72E+03 8.32E+02 3.89E+02 1.76E+02 7.72E+01 3.27E+01 1.34E+01
  22.50  1.565  4.76E+08 8.30E+07 1.21E+09 1.23E+06 3.59E+06 5.64E+06 7.22E+06 8.23E+06 8.67E+06 8.57E+06 8.03E+06 7.17E+06 6.12E+06 5.02E+06 3.96E+06 3.01E+06 2.21E+06 1.56E+06 1.07E+06 7.06E+05 4.51E+05 2.79E+05 1.67E+05 9.67E+04 5.42E+04 2.94E+04 1.55E+04 7.90E+03 3.90E+03 1.87E+03 8.67E+02 3.90E+02 1.70E+02
  25.00  1.650  2.51E+09 4.07E+08 6.10E+09 5.69E+06 1.66E+07 2.62E+07 3.37E+07 3.87E+07 4.11E+07 4.11E+07 3.89E+07 3.53E+07 3.06E+07 2.56E+07 2.06E+07 1.60E+07 1.20E+07 8.70E+06 6.11E+06 4.15E+06 2.73E+06 1.75E+06 1.08E+06 6.48E+05 3.77E+05 2.13E+05 1.17E+05 6.22E+04 3.21E+04 1.61E+04 7.84E+03 3.71E+03 1.70E+03
  30.00  1.807  8.21E+10 7.96E+09 1.26E+11 1.00E+08 2.93E+08 4.64E+08 6.02E+08 7.00E+08 7.54E+08 7.66E+08 7.41E+08 6.86E+08 6.11E+08 5.25E+08 4.35E+08 3.50E+08 2.72E+08 2.05E+08 1.50E+08 1.07E+08 7.38E+07 4.95E+07 3.23E+07 2.05E+07 1.27E+07 7.60E+06 4.45E+06 2.53E+06 1.40E+06 7.55E+05 3.97E+05 2.03E+05 1.01E+05
  40.00  2.087  3.21E+13 1.60E+12 2.74E+13 1.71E+10 5.03E+10 8.03E+10 1.05E+11 1.24E+11 1.37E+11 1.42E+11 1.41E+11 1.35E+11 1.24E+11 1.11E+11 9.56E+10 8.03E+10 6.56E+10 5.22E+10 4.04E+10 3.05E+10 2.25E+10 1.61E+10 1.13E+10 7.75E+09 5.18E+09 3.38E+09 2.15E+09 1.34E+09 8.16E+08 4.85E+08 2.82E+08 1.60E+08 8.91E+07
