                    ************************************************************************************************
                    *  Z= 38 A= 84: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 84 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.151  2.38E-01 4.77E-01 3.30E+00 3.07E-02 8.07E-02 1.04E-01 9.79E-02 7.46E-02 4.74E-02 2.56E-02 1.18E-02 4.70E-03 1.62E-03 4.84E-04 1.26E-04 2.85E-05 5.62E-06 9.68E-07 1.45E-07 1.91E-08 2.19E-09 2.20E-10 1.94E-11 1.49E-12 1.00E-13 5.91E-15 3.05E-16 1.38E-17 5.45E-19 1.89E-20 5.75E-22 1.53E-23 3.57E-25
   0.50  0.213  4.77E-01 4.77E-01 3.30E+00 3.07E-02 8.07E-02 1.04E-01 9.79E-02 7.46E-02 4.74E-02 2.56E-02 1.18E-02 4.70E-03 1.62E-03 4.84E-04 1.26E-04 2.85E-05 5.62E-06 9.68E-07 1.45E-07 1.91E-08 2.19E-09 2.20E-10 1.94E-11 1.49E-12 1.00E-13 5.91E-15 3.05E-16 1.38E-17 5.45E-19 1.89E-20 5.75E-22 1.53E-23 3.57E-25
   0.75  0.261  7.15E-01 4.77E-01 3.30E+00 3.07E-02 8.07E-02 1.04E-01 9.79E-02 7.46E-02 4.74E-02 2.56E-02 1.18E-02 4.70E-03 1.62E-03 4.84E-04 1.26E-04 2.85E-05 5.62E-06 9.68E-07 1.45E-07 1.91E-08 2.19E-09 2.20E-10 1.94E-11 1.49E-12 1.00E-13 5.91E-15 3.05E-16 1.38E-17 5.45E-19 1.89E-20 5.75E-22 1.53E-23 3.57E-25
   1.00  0.302  9.53E-01 4.77E-01 3.30E+00 3.07E-02 8.07E-02 1.04E-01 9.79E-02 7.46E-02 4.74E-02 2.56E-02 1.18E-02 4.70E-03 1.62E-03 4.84E-04 1.26E-04 2.85E-05 5.62E-06 9.68E-07 1.45E-07 1.91E-08 2.19E-09 2.20E-10 1.94E-11 1.49E-12 1.00E-13 5.91E-15 3.05E-16 1.38E-17 5.45E-19 1.89E-20 5.75E-22 1.53E-23 3.57E-25
   1.25  0.337  1.19E+00 4.77E-01 3.30E+00 3.07E-02 8.07E-02 1.04E-01 9.79E-02 7.46E-02 4.74E-02 2.56E-02 1.18E-02 4.70E-03 1.62E-03 4.84E-04 1.26E-04 2.85E-05 5.62E-06 9.68E-07 1.45E-07 1.91E-08 2.19E-09 2.20E-10 1.94E-11 1.49E-12 1.00E-13 5.91E-15 3.05E-16 1.38E-17 5.45E-19 1.89E-20 5.75E-22 1.53E-23 3.57E-25
   1.50  0.370  1.43E+00 4.73E-01 3.28E+00 3.04E-02 8.00E-02 1.03E-01 9.71E-02 7.40E-02 4.70E-02 2.54E-02 1.17E-02 4.66E-03 1.61E-03 4.80E-04 1.25E-04 2.82E-05 5.57E-06 9.59E-07 1.44E-07 1.89E-08 2.18E-09 2.19E-10 1.92E-11 1.48E-12 9.94E-14 5.86E-15 3.02E-16 1.37E-17 5.41E-19 1.87E-20 5.70E-22 1.52E-23 3.54E-25
   1.75  0.399  1.92E+00 9.84E-01 6.82E+00 6.33E-02 1.67E-01 2.14E-01 2.02E-01 1.54E-01 9.80E-02 5.28E-02 2.44E-02 9.72E-03 3.35E-03 1.00E-03 2.60E-04 5.88E-05 1.16E-05 2.00E-06 3.00E-07 3.95E-08 4.53E-09 4.55E-10 4.00E-11 3.08E-12 2.07E-13 1.22E-14 6.29E-16 2.84E-17 1.13E-18 3.91E-20 1.19E-21 3.16E-23 7.37E-25
   2.00  0.427  2.84E+00 1.84E+00 1.27E+01 1.18E-01 3.11E-01 3.99E-01 3.78E-01 2.88E-01 1.83E-01 9.86E-02 4.56E-02 1.81E-02 6.25E-03 1.87E-03 4.85E-04 1.10E-04 2.17E-05 3.73E-06 5.61E-07 7.37E-08 8.46E-09 8.50E-10 7.47E-11 5.74E-12 3.86E-13 2.28E-14 1.18E-15 5.31E-17 2.10E-18 7.29E-20 2.22E-21 5.90E-23 1.38E-24
