                    ************************************************************************************************
                    *  Z= 32 A= 70: Positive-Parity Spin-dependent Level Density [MeV-1] for Ge 70 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.540  1.86E+01 1.15E+02 8.71E+01 5.08E-01 4.08E-01 2.22E+00 2.50E+00 2.87E+00 1.36E+00 7.39E-01 1.00E-30 3.75E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.561  2.55E+01 1.33E+02 1.40E+02 1.01E+00 2.21E+00 4.39E+00 2.90E+00 3.40E+00 1.74E+00 1.77E+00 3.04E-01 7.84E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.580  3.85E+01 1.88E+02 2.49E+02 2.88E+00 3.98E+00 9.91E+00 4.32E+00 4.41E+00 2.21E+00 2.72E+00 1.61E+00 1.30E+00 1.00E-30 4.09E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.599  5.80E+01 2.42E+02 3.67E+02 4.72E+00 5.36E+00 1.28E+01 6.51E+00 8.01E+00 3.44E+00 3.24E+00 2.26E+00 1.62E+00 2.45E-01 8.70E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.618  8.74E+01 3.11E+02 5.65E+02 6.51E+00 7.04E+00 1.74E+01 9.35E+00 1.46E+01 6.65E+00 3.50E+00 3.51E+00 2.58E+00 6.20E-01 1.25E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.636  1.30E+02 4.44E+02 8.17E+02 1.06E+01 8.63E+00 2.13E+01 1.42E+01 2.06E+01 1.12E+01 5.19E+00 4.72E+00 3.76E+00 1.57E+00 1.61E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.653  1.83E+02 5.93E+02 1.06E+03 1.13E+01 8.79E+00 2.13E+01 1.72E+01 2.63E+01 1.57E+01 9.67E+00 5.76E+00 5.11E+00 3.09E+00 1.31E+00 2.45E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.670  2.56E+02 7.53E+02 1.45E+03 1.42E+01 1.02E+01 2.77E+01 2.27E+01 3.26E+01 2.09E+01 1.78E+01 8.49E+00 6.07E+00 4.12E+00 1.50E+00 3.75E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.703  5.11E+02 1.36E+03 2.57E+03 2.01E+01 1.86E+01 5.04E+01 3.80E+01 4.75E+01 3.32E+01 3.53E+01 1.87E+01 9.98E+00 6.44E+00 3.74E+00 1.97E+00 1.12E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.734  9.88E+02 2.40E+03 4.89E+03 3.74E+01 3.80E+01 9.80E+01 6.79E+01 8.39E+01 6.22E+01 5.73E+01 3.64E+01 2.41E+01 1.12E+01 9.52E+00 5.19E+00 3.20E+00 8.70E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.50  0.764  1.83E+03 3.96E+03 8.82E+03 5.30E+01 5.66E+01 1.47E+02 1.17E+02 1.50E+02 1.14E+02 9.94E+01 6.31E+01 4.97E+01 2.77E+01 1.81E+01 1.15E+01 5.55E+00 1.73E+00 4.09E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.793  3.36E+03 6.61E+03 1.61E+04 8.69E+01 9.52E+01 2.67E+02 2.08E+02 2.58E+02 2.07E+02 1.82E+02 1.17E+02 8.88E+01 5.36E+01 3.46E+01 2.05E+01 1.21E+01 3.67E+00 1.88E+00 2.04E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.821  5.99E+03 1.07E+04 2.82E+04 1.48E+02 1.58E+02 4.37E+02 3.54E+02 4.52E+02 3.57E+02 3.19E+02 2.11E+02 1.57E+02 9.53E+01 6.40E+01 3.48E+01 2.30E+01 8.90E+00 5.19E+00 9.50E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  0.848  1.04E+04 1.73E+04 4.82E+04 2.31E+02 2.50E+02 6.71E+02 5.57E+02 7.49E+02 6.03E+02 5.26E+02 3.67E+02 2.82E+02 1.79E+02 1.24E+02 6.87E+01 4.05E+01 2.04E+01 9.52E+00 2.26E+00 2.04E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  0.874  1.78E+04 2.78E+04 8.13E+04 3.78E+02 3.94E+02 1.08E+03 8.83E+02 1.20E+03 9.94E+02 8.95E+02 6.33E+02 4.79E+02 3.21E+02 2.19E+02 1.21E+02 7.36E+01 3.90E+01 2.04E+01 5.96E+00 1.48E+00 2.04E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  0.899  2.99E+04 4.28E+04 1.34E+05 6.00E+02 6.08E+02 1.68E+03 1.43E+03 1.90E+03 1.57E+03 1.48E+03 1.07E+03 8.03E+02 5.42E+02 3.76E+02 2.03E+02 1.28E+02 6.86E+01 3.90E+01 1.29E+01 4.27E+00 9.50E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  0.924  4.95E+04 6.64E+04 2.20E+05 9.21E+02 9.69E+02 2.66E+03 2.24E+03 3.00E+03 2.53E+03 2.35E+03 1.75E+03 1.37E+03 9.26E+02 6.54E+02 3.74E+02 2.30E+02 1.23E+02 6.50E+01 2.45E+01 9.26E+00 1.93E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  0.948  8.09E+04 1.02E+05 3.55E+05 1.38E+03 1.48E+03 4.12E+03 3.41E+03 4.72E+03 4.01E+03 3.78E+03 2.81E+03 2.23E+03 1.56E+03 1.10E+03 6.53E+02 3.90E+02 2.14E+02 1.12E+02 5.11E+01 1.84E+01 4.16E+00 6.12E-01 2.04E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  0.994  2.31E+05 2.26E+05 8.72E+05 3.09E+03 3.30E+03 9.32E+03 7.99E+03 1.08E+04 9.40E+03 9.11E+03 6.91E+03 5.65E+03 3.94E+03 2.84E+03 1.74E+03 1.12E+03 6.07E+02 3.31E+02 1.53E+02 7.44E+01 2.71E+01 9.08E+00 4.17E+00 7.48E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.038  5.73E+05 4.82E+05 2.02E+06 6.73E+03 7.12E+03 2.00E+04 1.72E+04 2.40E+04 2.09E+04 2.07E+04 1.60E+04 1.33E+04 9.51E+03 6.95E+03 4.36E+03 2.85E+03 1.62E+03 9.35E+02 4.65E+02 2.22E+02 1.01E+02 4.32E+01 1.54E+01 5.72E+00 2.32E+00 4.15E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  13.00  1.081  1.31E+06 9.64E+05 4.49E+06 1.38E+04 1.45E+04 4.09E+04 3.59E+04 5.02E+04 4.41E+04 4.44E+04 3.48E+04 2.98E+04 2.18E+04 1.64E+04 1.04E+04 6.99E+03 4.14E+03 2.48E+03 1.27E+03 6.28E+02 3.15E+02 1.42E+02 5.44E+01 2.09E+01 6.18E+00 1.29E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.122  2.82E+06 1.85E+06 9.42E+06 2.65E+04 2.80E+04 7.93E+04 7.07E+04 1.00E+05 8.79E+04 9.09E+04 7.20E+04 6.30E+04 4.67E+04 3.59E+04 2.33E+04 1.60E+04 9.72E+03 5.96E+03 3.17E+03 1.61E+03 8.28E+02 3.83E+02 1.65E+02 7.08E+01 2.45E+01 6.90E+00 1.66E+00 4.15E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  15.00  1.161  5.78E+06 3.46E+06 1.88E+07 4.93E+04 5.20E+04 1.48E+05 1.31E+05 1.89E+05 1.68E+05 1.77E+05 1.42E+05 1.27E+05 9.50E+04 7.47E+04 4.95E+04 3.45E+04 2.14E+04 1.35E+04 7.45E+03 3.90E+03 2.03E+03 9.81E+02 4.60E+02 2.09E+02 7.70E+01 2.84E+01 8.46E+00 3.03E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  16.00  1.199  1.13E+07 6.16E+06 3.63E+07 8.95E+04 9.43E+04 2.68E+05 2.38E+05 3.47E+05 3.10E+05 3.29E+05 2.67E+05 2.44E+05 1.85E+05 1.49E+05 1.00E+05 7.19E+04 4.52E+04 2.89E+04 1.66E+04 8.99E+03 4.80E+03 2.37E+03 1.15E+03 5.43E+02 2.11E+02 8.47E+01 2.75E+01 7.79E+00 1.07E+00 4.15E-01 1.00E-30 1.00E-30 1.00E-30
  17.00  1.236  2.14E+07 1.06E+07 6.71E+07 1.55E+05 1.63E+05 4.65E+05 4.18E+05 6.10E+05 5.48E+05 5.90E+05 4.83E+05 4.48E+05 3.45E+05 2.83E+05 1.94E+05 1.43E+05 9.12E+04 5.96E+04 3.42E+04 1.93E+04 1.05E+04 5.31E+03 2.66E+03 1.29E+03 5.56E+02 2.35E+02 8.22E+01 2.85E+01 8.59E+00 3.28E+00 1.00E-30 1.00E-30 1.00E-30
  18.00  1.272  3.90E+07 1.76E+07 1.19E+08 2.59E+05 2.71E+05 7.74E+05 7.00E+05 1.02E+06 9.21E+05 1.01E+06 8.36E+05 7.93E+05 6.17E+05 5.15E+05 3.59E+05 2.70E+05 1.75E+05 1.18E+05 6.83E+04 3.92E+04 2.17E+04 1.12E+04 5.69E+03 2.84E+03 1.23E+03 5.23E+02 1.94E+02 7.13E+01 2.34E+01 5.87E+00 2.49E-01 1.00E-30 1.00E-30
  19.00  1.307  6.84E+07 2.85E+07 2.05E+08 4.18E+05 4.38E+05 1.25E+06 1.14E+06 1.68E+06 1.51E+06 1.69E+06 1.39E+06 1.35E+06 1.06E+06 9.05E+05 6.37E+05 4.89E+05 3.23E+05 2.22E+05 1.32E+05 7.68E+04 4.32E+04 2.28E+04 1.17E+04 5.83E+03 2.62E+03 1.15E+03 4.29E+02 1.64E+02 5.43E+01 1.30E+01 4.85E+00 1.49E+00 1.00E-30
  20.00  1.340  1.16E+08 4.50E+07 3.42E+08 6.56E+05 6.87E+05 1.96E+06 1.80E+06 2.68E+06 2.43E+06 2.73E+06 2.28E+06 2.23E+06 1.76E+06 1.54E+06 1.10E+06 8.56E+05 5.74E+05 4.02E+05 2.44E+05 1.46E+05 8.24E+04 4.46E+04 2.31E+04 1.17E+04 5.31E+03 2.41E+03 9.71E+02 3.84E+02 1.28E+02 4.05E+01 1.44E+01 3.63E+00 1.00E-30
  22.50  1.422  4.81E+08 1.29E+08 1.08E+09 1.84E+06 1.92E+06 5.50E+06 5.05E+06 7.59E+06 6.93E+06 7.97E+06 6.76E+06 6.79E+06 5.47E+06 4.93E+06 3.63E+06 2.98E+06 2.06E+06 1.52E+06 9.59E+05 6.09E+05 3.56E+05 2.03E+05 1.08E+05 5.70E+04 2.67E+04 1.24E+04 5.23E+03 2.16E+03 8.26E+02 2.82E+02 8.33E+01 1.68E+01 9.00E+00
  25.00  1.499  1.48E+09 3.34E+08 3.06E+09 4.70E+06 4.89E+06 1.41E+07 1.30E+07 1.97E+07 1.80E+07 2.10E+07 1.80E+07 1.85E+07 1.51E+07 1.41E+07 1.05E+07 9.00E+06 6.37E+06 4.94E+06 3.24E+06 2.18E+06 1.32E+06 7.95E+05 4.37E+05 2.41E+05 1.16E+05 5.61E+04 2.47E+04 1.08E+04 4.24E+03 1.54E+03 4.98E+02 1.51E+02 4.24E+01
  30.00  1.642  1.36E+10 1.96E+09 1.96E+10 2.65E+07 2.74E+07 7.92E+07 7.35E+07 1.12E+08 1.03E+08 1.22E+08 1.05E+08 1.10E+08 9.18E+07 8.76E+07 6.74E+07 5.99E+07 4.41E+07 3.62E+07 2.50E+07 1.84E+07 1.18E+07 7.94E+06 4.72E+06 2.90E+06 1.52E+06 8.15E+05 3.86E+05 1.84E+05 7.79E+04 3.13E+04 1.18E+04 4.10E+03 1.33E+03
  40.00  1.896  8.05E+11 6.34E+10 6.64E+11 8.21E+08 8.41E+08 2.45E+09 2.27E+09 3.49E+09 3.22E+09 3.83E+09 3.33E+09 3.52E+09 2.96E+09 2.85E+09 2.24E+09 2.02E+09 1.53E+09 1.29E+09 9.26E+08 7.17E+08 4.90E+08 3.56E+08 2.32E+08 1.60E+08 9.59E+07 6.12E+07 3.41E+07 2.00E+07 1.02E+07 5.23E+06 2.42E+06 1.08E+06 4.45E+05
  50.00  2.119  2.30E+13 1.74E+12 1.92E+13 2.19E+10 2.23E+10 6.53E+10 6.08E+10 9.37E+10 8.72E+10 1.04E+11 9.15E+10 9.77E+10 8.29E+10 8.08E+10 6.46E+10 5.91E+10 4.56E+10 3.90E+10 2.86E+10 2.25E+10 1.59E+10 1.18E+10 7.96E+09 5.67E+09 3.55E+09 2.37E+09 1.42E+09 8.92E+08 5.05E+08 2.92E+08 1.55E+08 8.30E+07 4.12E+07
