                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.520  1.10E+02 6.81E+01 5.81E+02 2.91E+00 8.01E+00 1.12E+01 1.21E+01 1.10E+01 8.76E+00 6.17E+00 3.89E+00 2.21E+00 1.13E+00 5.29E-01 2.24E-01 8.63E-02 3.03E-02 9.72E-03 2.84E-03 7.60E-04 1.86E-04 4.15E-05 8.47E-06 1.58E-06 2.71E-07 4.24E-08 6.07E-09 7.96E-10 9.56E-11 1.05E-11 1.06E-12 9.78E-14 8.27E-15
   3.50  0.539  1.59E+02 9.80E+01 8.44E+02 4.10E+00 1.13E+01 1.59E+01 1.73E+01 1.58E+01 1.27E+01 9.02E+00 5.75E+00 3.31E+00 1.73E+00 8.20E-01 3.54E-01 1.39E-01 5.01E-02 1.64E-02 4.94E-03 1.36E-03 3.41E-04 7.86E-05 1.66E-05 3.21E-06 5.69E-07 9.26E-08 1.38E-08 1.89E-09 2.37E-10 2.72E-11 2.88E-12 2.79E-13 2.48E-14
   3.75  0.558  2.29E+02 1.41E+02 1.22E+03 5.78E+00 1.59E+01 2.25E+01 2.46E+01 2.27E+01 1.83E+01 1.31E+01 8.49E+00 4.95E+00 2.62E+00 1.26E+00 5.56E-01 2.23E-01 8.20E-02 2.76E-02 8.49E-03 2.40E-03 6.20E-04 1.47E-04 3.21E-05 6.41E-06 1.18E-06 1.99E-07 3.08E-08 4.38E-09 5.73E-10 6.88E-11 7.60E-12 7.72E-13 7.20E-14
   4.00  0.576  3.30E+02 2.02E+02 1.77E+03 8.13E+00 2.25E+01 3.18E+01 3.49E+01 3.24E+01 2.64E+01 1.91E+01 1.25E+01 7.38E+00 3.97E+00 1.94E+00 8.69E-01 3.56E-01 1.33E-01 4.59E-02 1.45E-02 4.19E-03 1.11E-03 2.72E-04 6.12E-05 1.26E-05 2.40E-06 4.19E-07 6.74E-08 9.96E-09 1.36E-09 1.70E-10 1.96E-11 2.08E-12 2.03E-13
   4.25  0.594  4.74E+02 2.89E+02 2.56E+03 1.14E+01 3.16E+01 4.50E+01 4.95E+01 4.63E+01 3.79E+01 2.78E+01 1.83E+01 1.10E+01 5.98E+00 2.97E+00 1.35E+00 5.64E-01 2.16E-01 7.58E-02 2.45E-02 7.27E-03 1.98E-03 4.98E-04 1.15E-04 2.45E-05 4.81E-06 8.70E-07 1.45E-07 2.22E-08 3.15E-09 4.10E-10 4.93E-11 5.47E-12 5.59E-13
   4.50  0.611  6.81E+02 4.14E+02 3.71E+03 1.61E+01 4.45E+01 6.34E+01 7.02E+01 6.60E+01 5.45E+01 4.03E+01 2.68E+01 1.63E+01 8.98E+00 4.53E+00 2.10E+00 8.90E-01 3.47E-01 1.25E-01 4.11E-02 1.25E-02 3.50E-03 9.02E-04 2.15E-04 4.71E-05 9.53E-06 1.78E-06 3.07E-07 4.87E-08 7.16E-09 9.70E-10 1.21E-10 1.40E-11 1.50E-12
   4.75  0.628  9.77E+02 5.92E+02 5.35E+03 2.25E+01 6.26E+01 8.95E+01 9.94E+01 9.40E+01 7.82E+01 5.83E+01 3.92E+01 2.40E+01 1.34E+01 6.88E+00 3.23E+00 1.40E+00 5.55E-01 2.03E-01 6.85E-02 2.13E-02 6.11E-03 1.62E-03 3.95E-04 8.92E-05 1.86E-05 3.59E-06 6.38E-07 1.05E-07 1.60E-08 2.25E-09 2.92E-10 3.52E-11 3.91E-12
   5.00  0.644  1.40E+03 8.45E+02 7.71E+03 3.16E+01 8.80E+01 1.26E+02 1.41E+02 1.34E+02 1.12E+02 8.41E+01 5.72E+01 3.54E+01 2.01E+01 1.04E+01 4.97E+00 2.18E+00 8.83E-01 3.29E-01 1.13E-01 3.60E-02 1.06E-02 2.87E-03 7.21E-04 1.67E-04 3.59E-05 7.13E-06 1.31E-06 2.23E-07 3.51E-08 5.12E-09 6.91E-10 8.64E-11 1.00E-11
   5.50  0.676  3.12E+03 1.72E+03 1.60E+04 6.22E+01 1.73E+02 2.50E+02 2.81E+02 2.70E+02 2.29E+02 1.75E+02 1.21E+02 7.65E+01 4.44E+01 2.36E+01 1.16E+01 5.26E+00 2.20E+00 8.52E-01 3.05E-01 1.01E-01 3.10E-02 8.83E-03 2.33E-03 5.69E-04 1.29E-04 2.72E-05 5.30E-06 9.60E-07 1.61E-07 2.52E-08 3.65E-09 4.91E-10 6.13E-11
   6.00  0.706  6.61E+03 3.49E+03 3.30E+04 1.22E+02 3.41E+02 4.94E+02 5.59E+02 5.42E+02 4.66E+02 3.61E+02 2.54E+02 1.64E+02 9.72E+01 5.31E+01 2.68E+01 1.25E+01 5.39E+00 2.16E+00 8.02E-01 2.76E-01 8.84E-02 2.63E-02 7.26E-03 1.86E-03 4.45E-04 9.87E-05 2.04E-05 3.91E-06 6.99E-07 1.16E-07 1.80E-08 2.59E-09 3.47E-10
   6.50  0.735  1.37E+04 7.07E+03 6.78E+04 2.39E+02 6.70E+02 9.74E+02 1.11E+03 1.09E+03 9.45E+02 7.42E+02 5.31E+02 3.49E+02 2.11E+02 1.18E+02 6.10E+01 2.92E+01 1.30E+01 5.38E+00 2.07E+00 7.38E-01 2.46E-01 7.61E-02 2.19E-02 5.89E-03 1.48E-03 3.44E-04 7.49E-05 1.52E-05 2.88E-06 5.07E-07 8.35E-08 1.28E-08 1.83E-09
   7.00  0.763  2.79E+04 1.43E+04 1.39E+05 4.67E+02 1.31E+03 1.92E+03 2.20E+03 2.17E+03 1.91E+03 1.52E+03 1.10E+03 7.37E+02 4.54E+02 2.59E+02 1.37E+02 6.75E+01 3.09E+01 1.32E+01 5.22E+00 1.93E+00 6.66E-01 2.14E-01 6.44E-02 1.81E-02 4.73E-03 1.16E-03 2.64E-04 5.65E-05 1.13E-05 2.10E-06 3.66E-07 5.97E-08 9.10E-09
   7.50  0.789  5.67E+04 2.87E+04 2.85E+05 9.08E+02 2.56E+03 3.75E+03 4.34E+03 4.32E+03 3.84E+03 3.10E+03 2.29E+03 1.56E+03 9.80E+02 5.73E+02 3.11E+02 1.57E+02 7.42E+01 3.27E+01 1.34E+01 5.15E+00 1.85E+00 6.21E-01 1.95E-01 5.73E-02 1.57E-02 4.06E-03 9.78E-04 2.21E-04 4.67E-05 9.25E-06 1.72E-06 2.99E-07 4.87E-08
   8.00  0.815  1.13E+05 5.67E+04 5.77E+05 1.71E+03 4.83E+03 7.12E+03 8.31E+03 8.38E+03 7.56E+03 6.20E+03 4.68E+03 3.26E+03 2.11E+03 1.27E+03 7.13E+02 3.74E+02 1.83E+02 8.40E+01 3.61E+01 1.45E+01 5.49E+00 1.94E+00 6.46E-01 2.01E-01 5.90E-02 1.62E-02 4.19E-03 1.02E-03 2.31E-04 4.95E-05 9.97E-06 1.88E-06 3.35E-07
   8.50  0.840  2.23E+05 1.09E+05 1.14E+06 3.15E+03 8.93E+03 1.32E+04 1.56E+04 1.59E+04 1.45E+04 1.21E+04 9.28E+03 6.60E+03 4.37E+03 2.70E+03 1.56E+03 8.44E+02 4.28E+02 2.04E+02 9.09E+01 3.82E+01 1.51E+01 5.59E+00 1.95E+00 6.40E-01 1.98E-01 5.76E-02 1.58E-02 4.08E-03 9.91E-04 2.27E-04 4.90E-05 9.95E-06 1.91E-06
   9.00  0.865  4.28E+05 2.06E+05 2.18E+06 5.71E+03 1.62E+04 2.42E+04 2.86E+04 2.94E+04 2.72E+04 2.30E+04 1.79E+04 1.30E+04 8.78E+03 5.55E+03 3.29E+03 1.83E+03 9.54E+02 4.68E+02 2.17E+02 9.43E+01 3.87E+01 1.49E+01 5.45E+00 1.87E+00 6.07E-01 1.86E-01 5.37E-02 1.46E-02 3.77E-03 9.15E-04 2.10E-04 4.55E-05 9.32E-06
