                    ************************************************************************************************
                    *  Z= 22 A= 46: Positive-Parity Spin-dependent Level Density [MeV-1] for Ti 46 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.188  7.31E-01 1.46E+00 8.07E+00 1.47E-01 3.59E-01 3.96E-01 2.98E-01 1.68E-01 7.32E-02 2.51E-02 6.84E-03 1.49E-03 2.60E-04 3.65E-05 4.14E-06 3.79E-07 2.80E-08 1.68E-09 8.12E-11 3.19E-12 1.01E-13 2.62E-15 5.48E-17 9.32E-19 1.29E-20 1.44E-22 1.31E-24 9.66E-27 5.80E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.266  1.59E+00 1.71E+00 9.45E+00 1.72E-01 4.20E-01 4.64E-01 3.50E-01 1.97E-01 8.58E-02 2.94E-02 8.01E-03 1.74E-03 3.05E-04 4.28E-05 4.85E-06 4.44E-07 3.28E-08 1.96E-09 9.52E-11 3.74E-12 1.19E-13 3.07E-15 6.43E-17 1.09E-18 1.51E-20 1.69E-22 1.53E-24 1.13E-26 6.79E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.325  2.59E+00 2.01E+00 1.11E+01 2.02E-01 4.92E-01 5.43E-01 4.10E-01 2.31E-01 1.01E-01 3.45E-02 9.39E-03 2.04E-03 3.57E-04 5.02E-05 5.68E-06 5.20E-07 3.85E-08 2.30E-09 1.12E-10 4.38E-12 1.39E-13 3.60E-15 7.53E-17 1.28E-18 1.77E-20 1.98E-22 1.80E-24 1.33E-26 7.96E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.376  3.77E+00 2.35E+00 1.30E+01 2.36E-01 5.77E-01 6.37E-01 4.80E-01 2.70E-01 1.18E-01 4.04E-02 1.10E-02 2.40E-03 4.18E-04 5.88E-05 6.66E-06 6.09E-07 4.51E-08 2.70E-09 1.31E-10 5.13E-12 1.63E-13 4.21E-15 8.83E-17 1.50E-18 2.07E-20 2.32E-22 2.11E-24 1.56E-26 9.33E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.420  5.14E+00 2.76E+00 1.52E+01 2.77E-01 6.76E-01 7.46E-01 5.63E-01 3.17E-01 1.38E-01 4.74E-02 1.29E-02 2.81E-03 4.90E-04 6.89E-05 7.80E-06 7.14E-07 5.28E-08 3.16E-09 1.53E-10 6.01E-12 1.91E-13 4.94E-15 1.03E-16 1.76E-18 2.42E-20 2.71E-22 2.47E-24 1.82E-26 1.09E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.460  6.76E+00 3.23E+00 1.78E+01 3.25E-01 7.92E-01 8.74E-01 6.59E-01 3.71E-01 1.62E-01 5.55E-02 1.51E-02 3.29E-03 5.75E-04 8.07E-05 9.15E-06 8.37E-07 6.19E-08 3.70E-09 1.79E-10 7.05E-12 2.24E-13 5.79E-15 1.21E-16 2.06E-18 2.84E-20 3.18E-22 2.89E-24 2.14E-26 1.28E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.497  8.65E+00 3.79E+00 2.09E+01 3.80E-01 9.28E-01 1.02E+00 7.72E-01 4.35E-01 1.90E-01 6.50E-02 1.77E-02 3.86E-03 6.73E-04 9.46E-05 1.07E-05 9.81E-07 7.25E-08 4.34E-09 2.10E-10 8.26E-12 2.63E-13 6.78E-15 1.42E-16 2.41E-18 3.33E-20 3.73E-22 3.39E-24 2.50E-26 1.50E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.531  1.09E+01 4.44E+00 2.45E+01 4.46E-01 1.09E+00 1.20E+00 9.05E-01 5.10E-01 2.22E-01 7.62E-02 2.08E-02 4.52E-03 7.89E-04 1.11E-04 1.26E-05 1.15E-06 8.50E-08 5.09E-09 2.46E-10 9.68E-12 3.08E-13 7.95E-15 1.66E-16 2.83E-18 3.90E-20 4.37E-22 3.97E-24 2.93E-26 1.76E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30
