                    ************************************************************************************************
                    *  Z= 21 A= 45: Positive-Parity Spin-dependent Level Density [MeV-1] for Sc 45 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   3.25  0.651  6.56E+01 2.43E+01 1.35E+02 3.30E+00 5.30E+00 5.51E+00 4.41E+00 2.86E+00 1.53E+00 6.92E-01 2.65E-01 8.60E-02 2.38E-02 5.66E-03 1.15E-03 2.01E-04 3.01E-05 3.87E-06 4.29E-07 4.09E-08 3.36E-09 2.38E-10 1.45E-11 7.62E-13 3.45E-14 1.35E-15 4.54E-17 1.32E-18 3.31E-20 7.16E-22 1.34E-23 2.15E-25 2.99E-27
   3.50  0.675  8.02E+01 2.92E+01 1.64E+02 3.91E+00 6.30E+00 6.59E+00 5.31E+00 3.47E+00 1.89E+00 8.62E-01 3.34E-01 1.11E-01 3.13E-02 7.57E-03 1.58E-03 2.82E-04 4.34E-05 5.76E-06 6.58E-07 6.49E-08 5.52E-09 4.06E-10 2.57E-11 1.41E-12 6.66E-14 2.72E-15 9.62E-17 2.94E-18 7.75E-20 1.77E-21 3.49E-23 5.95E-25 8.78E-27
   3.75  0.699  9.78E+01 3.51E+01 1.98E+02 4.64E+00 7.50E+00 7.89E+00 6.39E+00 4.22E+00 2.32E+00 1.07E+00 4.22E-01 1.42E-01 4.09E-02 1.01E-02 2.15E-03 3.94E-04 6.24E-05 8.51E-06 1.00E-06 1.02E-07 8.99E-09 6.85E-10 4.51E-11 2.57E-12 1.27E-13 5.42E-15 2.00E-16 6.42E-18 1.78E-19 4.28E-21 8.91E-23 1.61E-24 2.51E-26
   4.00  0.722  1.19E+02 4.21E+01 2.40E+02 5.51E+00 8.93E+00 9.43E+00 7.70E+00 5.12E+00 2.84E+00 1.33E+00 5.32E-01 1.82E-01 5.33E-02 1.35E-02 2.93E-03 5.49E-04 8.91E-05 1.25E-05 1.52E-06 1.60E-07 1.45E-08 1.15E-09 7.83E-11 4.64E-12 2.39E-13 1.06E-14 4.12E-16 1.38E-17 4.02E-19 1.02E-20 2.23E-22 4.25E-24 7.03E-26
   4.25  0.744  1.44E+02 5.06E+01 2.91E+02 6.54E+00 1.06E+01 1.13E+01 9.27E+00 6.21E+00 3.48E+00 1.65E+00 6.70E-01 2.32E-01 6.94E-02 1.79E-02 3.97E-03 7.62E-04 1.27E-04 1.83E-05 2.28E-06 2.47E-07 2.33E-08 1.90E-09 1.35E-10 8.29E-12 4.44E-13 2.06E-14 8.33E-16 2.93E-17 8.94E-19 2.37E-20 5.48E-22 1.10E-23 1.92E-25
   4.50  0.766  1.75E+02 6.09E+01 3.53E+02 7.76E+00 1.26E+01 1.35E+01 1.12E+01 7.54E+00 4.27E+00 2.05E+00 8.42E-01 2.97E-01 9.01E-02 2.36E-02 5.36E-03 1.05E-03 1.80E-04 2.66E-05 3.41E-06 3.81E-07 3.70E-08 3.12E-09 2.29E-10 1.47E-11 8.15E-13 3.95E-14 1.66E-15 6.11E-17 1.95E-18 5.44E-20 1.32E-21 2.79E-23 5.14E-25
   4.75  0.787  2.11E+02 7.31E+01 4.27E+02 9.22E+00 1.51E+01 1.61E+01 1.34E+01 9.14E+00 5.23E+00 2.54E+00 1.06E+00 3.78E-01 1.17E-01 3.12E-02 7.22E-03 1.45E-03 2.53E-04 3.84E-05 5.07E-06 5.83E-07 5.84E-08 5.09E-09 3.87E-10 2.56E-11 1.48E-12 7.46E-14 3.28E-15 1.26E-16 4.20E-18 1.23E-19 3.12E-21 6.94E-23 1.35E-24
   5.00  0.807  2.55E+02 8.79E+01 5.17E+02 1.09E+01 1.79E+01 1.93E+01 1.61E+01 1.11E+01 6.40E+00 3.14E+00 1.32E+00 4.81E-01 1.51E-01 4.10E-02 9.69E-03 1.99E-03 3.55E-04 5.53E-05 7.50E-06 8.87E-07 9.14E-08 8.23E-09 6.47E-10 4.44E-11 2.66E-12 1.39E-13 6.37E-15 2.55E-16 8.90E-18 2.72E-19 7.26E-21 1.70E-22 3.46E-24
   5.50  0.847  3.82E+02 1.27E+02 7.58E+02 1.54E+01 2.54E+01 2.76E+01 2.33E+01 1.63E+01 9.56E+00 4.80E+00 2.07E+00 7.74E-01 2.51E-01 7.06E-02 1.73E-02 3.70E-03 6.92E-04 1.13E-04 1.61E-05 2.01E-06 2.20E-07 2.11E-08 1.76E-09 1.30E-10 8.34E-12 4.70E-13 2.33E-14 1.01E-15 3.83E-17 1.28E-18 3.74E-20 9.58E-22 2.16E-23
   6.00  0.884  5.66E+02 1.83E+02 1.11E+03 2.18E+01 3.61E+01 3.94E+01 3.37E+01 2.39E+01 1.43E+01 7.31E+00 3.23E+00 1.24E+00 4.13E-01 1.20E-01 3.06E-02 6.81E-03 1.33E-03 2.27E-04 3.40E-05 4.47E-06 5.16E-07 5.23E-08 4.66E-09 3.65E-10 2.52E-11 1.52E-12 8.11E-14 3.80E-15 1.56E-16 5.66E-18 1.81E-19 5.07E-21 1.25E-22
   6.50  0.920  8.30E+02 2.65E+02 1.63E+03 3.08E+01 5.12E+01 5.63E+01 4.87E+01 3.49E+01 2.12E+01 1.11E+01 5.01E+00 1.97E+00 6.77E-01 2.03E-01 5.35E-02 1.24E-02 2.51E-03 4.48E-04 7.03E-05 9.72E-06 1.18E-06 1.27E-07 1.20E-08 9.97E-10 7.32E-11 4.74E-12 2.71E-13 1.36E-14 6.07E-16 2.38E-17 8.24E-19 2.52E-20 6.79E-22
