                    ************************************************************************************************
                    *  Z= 21 A= 46: Positive-Parity Spin-dependent Level Density [MeV-1] for Sc 46 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.656  1.74E+02 1.25E+02 4.89E+02 2.04E+00 4.28E+00 7.90E+00 8.50E+00 8.44E+00 8.18E+00 6.01E+00 4.83E+00 1.58E+00 9.68E-01 3.00E-01 1.82E-01 8.91E-02 4.45E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.681  1.89E+02 1.65E+02 7.58E+02 5.97E-01 1.37E+00 2.98E+00 3.38E+00 3.68E+00 3.70E+00 2.51E+00 2.04E+00 1.03E+01 9.27E+00 5.10E+00 2.84E+00 1.41E+00 7.05E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.705  2.21E+02 1.16E+02 1.68E+03 1.61E+00 6.03E+00 8.93E+00 1.10E+01 1.25E+01 1.26E+01 1.09E+01 9.26E+00 1.99E+01 1.44E+01 8.63E+00 5.00E+00 2.46E+00 1.25E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.728  2.90E+02 3.35E+01 3.24E+03 5.55E+00 1.60E+01 2.50E+01 3.09E+01 3.41E+01 3.37E+01 3.14E+01 2.68E+01 2.42E+01 1.85E+01 1.23E+01 7.75E+00 4.10E+00 2.17E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.750  3.75E+02 4.44E+01 3.97E+03 7.85E+00 2.08E+01 3.22E+01 3.97E+01 4.34E+01 4.24E+01 3.96E+01 3.40E+01 2.72E+01 2.08E+01 1.42E+01 9.10E+00 4.96E+00 2.71E+00 3.06E-01 1.78E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.772  5.08E+02 1.20E+02 5.09E+03 1.02E+01 2.67E+01 4.15E+01 5.10E+01 5.56E+01 5.41E+01 5.04E+01 4.31E+01 3.44E+01 2.65E+01 1.79E+01 1.18E+01 6.55E+00 3.61E+00 1.05E+00 5.44E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.793  7.36E+02 2.42E+02 6.75E+03 1.37E+01 3.54E+01 5.51E+01 6.77E+01 7.37E+01 7.13E+01 6.62E+01 5.66E+01 4.50E+01 3.48E+01 2.32E+01 1.59E+01 8.96E+00 4.97E+00 1.90E+00 9.49E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.813  1.06E+03 2.66E+02 4.45E+03 8.88E+00 2.45E+01 3.82E+01 4.65E+01 5.04E+01 4.90E+01 4.45E+01 3.76E+01 2.99E+01 2.18E+01 1.40E+01 9.59E+00 5.22E+00 3.33E+00 1.29E+00 6.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.853  2.29E+03 4.60E+02 5.32E+03 8.89E+00 2.65E+01 4.16E+01 5.06E+01 5.55E+01 5.52E+01 5.01E+01 4.30E+01 3.49E+01 2.51E+01 1.65E+01 1.14E+01 6.45E+00 8.13E+00 4.08E+00 2.21E+00 3.58E-01 2.15E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.891  4.22E+03 1.49E+02 1.96E+04 2.91E+01 8.37E+01 1.33E+02 1.64E+02 1.83E+02 1.85E+02 1.75E+02 1.56E+02 1.32E+02 1.04E+02 7.73E+01 5.56E+01 3.56E+01 2.20E+01 1.12E+01 5.86E+00 1.39E+00 7.50E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.50  0.928  6.16E+03 1.00E+03 2.24E+04 3.50E+01 1.02E+02 1.61E+02 1.97E+02 2.15E+02 2.16E+02 2.03E+02 1.79E+02 1.50E+02 1.17E+02 8.79E+01 6.21E+01 3.95E+01 2.37E+01 1.20E+01 5.61E+00 1.79E+00 8.91E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.963  8.04E+03 1.39E+03 2.49E+04 4.01E+01 1.18E+02 1.84E+02 2.24E+02 2.45E+02 2.46E+02 2.28E+02 2.01E+02 1.66E+02 1.29E+02 9.56E+01 6.57E+01 4.12E+01 2.48E+01 1.28E+01 5.62E+00 2.03E+00 1.01E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.996  9.91E+03 1.23E+03 2.22E+04 3.80E+01 1.03E+02 1.60E+02 1.94E+02 2.13E+02 2.15E+02 2.01E+02 1.77E+02 1.47E+02 1.14E+02 8.50E+01 5.78E+01 3.95E+01 2.47E+01 1.34E+01 6.14E+00 2.41E+00 1.29E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  1.029  1.18E+04 1.90E+03 9.50E+03 1.81E+01 4.65E+01 7.18E+01 8.74E+01 9.53E+01 9.53E+01 8.80E+01 7.68E+01 6.24E+01 4.83E+01 3.53E+01 2.34E+01 1.59E+01 9.43E+00 4.38E+00 2.58E+00 1.04E+00 5.73E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
