                    ************************************************************************************************
                    *  Z= 22 A= 47: Positive-Parity Spin-dependent Level Density [MeV-1] for Ti 47 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   3.25  0.665  2.46E+03 1.35E+00 2.72E+04 8.67E+01 1.69E+02 2.31E+02 2.72E+02 2.89E+02 2.81E+02 2.54E+02 2.19E+02 1.77E+02 1.35E+02 9.67E+01 6.56E+01 3.92E+01 2.19E+01 1.24E+01 4.62E+00 2.75E+00 2.14E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.690  3.41E+03 2.51E+00 3.49E+04 1.10E+02 2.16E+02 2.95E+02 3.48E+02 3.68E+02 3.58E+02 3.25E+02 2.80E+02 2.26E+02 1.75E+02 1.26E+02 8.14E+01 4.91E+01 2.80E+01 1.64E+01 7.38E+00 3.95E+00 4.33E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.715  4.90E+03 2.55E+00 4.42E+04 1.35E+02 2.65E+02 3.62E+02 4.29E+02 4.55E+02 4.46E+02 4.07E+02 3.53E+02 2.89E+02 2.25E+02 1.63E+02 1.06E+02 6.52E+01 3.80E+01 2.13E+01 1.05E+01 5.26E+00 1.13E+00 3.11E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.738  7.21E+03 6.21E+00 5.61E+04 1.66E+02 3.24E+02 4.45E+02 5.28E+02 5.62E+02 5.55E+02 5.11E+02 4.46E+02 3.68E+02 2.89E+02 2.10E+02 1.39E+02 8.66E+01 5.16E+01 2.75E+01 1.50E+01 7.01E+00 1.85E+00 6.28E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.761  9.76E+03 1.51E+01 5.91E+04 1.70E+02 3.15E+02 4.37E+02 5.21E+02 5.61E+02 5.60E+02 5.24E+02 4.63E+02 3.88E+02 3.08E+02 2.30E+02 1.61E+02 1.03E+02 6.04E+01 3.37E+01 1.89E+01 9.38E+00 2.93E+00 1.09E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.783  1.26E+04 3.36E+01 6.26E+04 1.75E+02 3.06E+02 4.29E+02 5.14E+02 5.60E+02 5.65E+02 5.38E+02 4.81E+02 4.08E+02 3.29E+02 2.51E+02 1.87E+02 1.23E+02 7.07E+01 4.13E+01 2.37E+01 1.26E+01 4.65E+00 1.56E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.804  1.52E+04 5.66E+01 3.92E+04 9.78E+01 1.80E+02 2.54E+02 3.05E+02 3.37E+02 3.46E+02 3.34E+02 3.00E+02 2.55E+02 2.07E+02 1.59E+02 1.17E+02 7.80E+01 4.72E+01 2.98E+01 1.77E+01 9.90E+00 4.23E+00 1.42E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.825  1.77E+04 1.06E+02 2.46E+04 5.48E+01 1.06E+02 1.50E+02 1.81E+02 2.02E+02 2.11E+02 2.08E+02 1.87E+02 1.60E+02 1.30E+02 1.01E+02 7.29E+01 4.97E+01 3.15E+01 2.15E+01 1.33E+01 7.80E+00 3.84E+00 1.28E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.866  1.95E+04 4.53E+02 1.13E+04 3.57E+01 6.58E+01 8.89E+01 1.02E+02 1.08E+02 1.07E+02 9.93E+01 8.35E+01 6.77E+01 5.20E+01 4.80E+01 3.33E+01 2.15E+01 1.17E+01 6.32E+00 3.87E+00 2.08E+00 1.42E+00 4.75E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.904  3.56E+04 1.13E+03 7.04E+03 2.55E+01 4.63E+01 6.45E+01 7.80E+01 8.53E+01 8.35E+01 7.49E+01 5.98E+01 4.50E+01 3.13E+01 2.24E+01 1.32E+01 7.02E+00 2.93E+00 1.26E+00 6.23E-01 1.91E-01 3.52E-02 1.16E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.50  0.941  4.24E+04 1.81E+03 8.37E+04 2.06E+02 4.02E+02 5.89E+02 7.28E+02 7.89E+02 7.95E+02 7.50E+02 6.63E+02 5.54E+02 4.35E+02 3.20E+02 2.22E+02 1.45E+02 9.00E+01 5.35E+01 2.85E+01 1.41E+01 4.48E+00 1.49E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.976  6.17E+04 2.79E+03 4.98E+04 1.75E+02 3.26E+02 4.24E+02 4.69E+02 4.76E+02 4.57E+02 4.22E+02 3.78E+02 3.29E+02 2.71E+02 2.03E+02 1.41E+02 8.53E+01 4.57E+01 2.15E+01 8.60E+00 3.58E+00 1.63E+00 7.49E-01 2.75E-01 6.44E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  1.011  7.23E+04 2.90E+03 4.77E+04 1.65E+02 3.09E+02 4.03E+02 4.46E+02 4.55E+02 4.39E+02 4.06E+02 3.65E+02 3.17E+02 2.61E+02 1.96E+02 1.36E+02 7.97E+01 4.28E+01 2.03E+01 8.41E+00 3.65E+00 1.61E+00 6.78E-01 2.36E-01 5.31E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  1.044  7.81E+04 1.08E+03 4.57E+04 1.56E+02 2.93E+02 3.82E+02 4.25E+02 4.35E+02 4.21E+02 3.90E+02 3.51E+02 3.05E+02 2.50E+02 1.88E+02 1.30E+02 7.45E+01 4.00E+01 1.92E+01 8.21E+00 3.73E+00 1.59E+00 6.04E-01 1.96E-01 1.01E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  1.076  8.93E+04 5.24E+02 1.12E+05 3.23E+02 6.10E+02 8.24E+02 9.54E+02 1.01E+03 1.00E+03 9.43E+02 8.51E+02 7.36E+02 6.03E+02 4.60E+02 3.27E+02 2.08E+02 1.23E+02 6.70E+01 3.32E+01 1.66E+01 1.87E+01 8.45E+00 2.79E+00 5.17E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  1.107  1.11E+05 3.52E+02 2.77E+05 6.66E+02 1.27E+03 1.77E+03 2.14E+03 2.36E+03 2.38E+03 2.28E+03 2.06E+03 1.78E+03 1.45E+03 1.13E+03 8.20E+02 5.80E+02 3.76E+02 2.34E+02 1.34E+02 7.40E+01 3.64E+01 1.65E+01 5.46E+00 7.04E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  1.138  1.41E+05 3.66E+03 2.24E+05 5.79E+02 1.10E+03 1.51E+03 1.79E+03 1.94E+03 1.92E+03 1.82E+03 1.63E+03 1.39E+03 1.13E+03 8.69E+02 6.27E+02 5.16E+02 3.33E+02 2.04E+02 1.19E+02 6.17E+01 3.03E+01 1.32E+01 3.73E+00 1.60E+00 5.74E-01 1.45E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
